hemming_distance	count
2	851
23	13179
22	7775
4	622
26	44617
25	30468
6	467
24	19962
7	272
30	101831
29	113098
28	89482
21	4606
27	64141
9	264
19	1520
20	2684
10	271
11	196
15	185
17	570
18	924
5	234
8	337
12	196
13	157
14	166
16	283
3	142
--------------------------------
cluster	count	score
0	8	29.54484599082623
2	6	29.57511048812406
7	6	29.608310957547463
16	8	29.684032879937945
18	5	29.687523452218095
20	7	29.68851133097368
23	7	29.69414048150116
27	6	29.69970742825551
29	6	29.705681619397186
41	8	29.735441302251285
43	4	29.738162793969828
46	10	29.744885357054862
51	6	29.752813570683667
57	6	29.77532811828647
58	11	29.775568474451966
60	7	29.781911321758365
66	8	29.79360742414241
70	6	29.805537403363957
73	6	29.807642867360236
74	6	29.80770596111109
78	6	29.810768136876007
82	8	29.82093906011449
93	7	29.83967561380494
99	8	29.84911554198792
105	5	29.855758858156488
113	7	29.86775765754058
116	7	29.877380473053602
122	6	29.88982434627265
123	6	29.890557953433056
127	6	29.89340937857321
128	6	29.893873566538986
130	7	29.894552553687607
132	7	29.897054675325858
140	7	29.901318073814505
143	7	29.905427136382897
160	5	29.92484632534988
165	7	29.93237635752953
166	6	29.933478218017374
168	9	29.936722418617464
169	9	29.936914680299363
184	7	29.957566727767567
186	4	29.959003649455152
189	7	29.96165660059124
190	5	29.961670404105703
192	8	29.9627445938071
200	7	29.969598020000845
210	6	29.982123712809592
225	6	30.00194224910806
235	8	30.008834498158603
236	6	30.00887476593412
239	5	30.01006183028869
244	6	30.01964456361612
246	6	30.02052239016653
247	6	30.020545171395785
250	7	30.022033685800068
253	7	30.026308953825232
254	9	30.027421904526502
255	7	30.027811874435812
262	5	30.03049688340204
266	7	30.03497691106881
269	4	30.037072879964963
285	4	30.05172671096152
291	7	30.0549704337899
295	8	30.05676979346238
300	6	30.063652305192356
302	6	30.065056581095067
308	6	30.067826862132602
316	9	30.072464893860865
320	7	30.073410334405732
321	5	30.07475859353435
323	8	30.076061384785195
330	7	30.082842366952217
331	2	30.08442569581426
333	9	30.08517016910559
339	6	30.089836120471286
343	2	30.093993094500433
360	4	30.10651759774482
378	6	30.124837504303894
384	6	30.128528826067072
393	8	30.13854178514719
407	3	30.14936692545522
409	4	30.150600198508503
410	5	30.15099565463811
412	4	30.15222383347502
417	7	30.15475065937443
418	4	30.158959912309648
419	8	30.159390919115634
424	6	30.16380111730779
425	3	30.164040390798448
429	7	30.165721537011887
433	8	30.168717795259187
444	3	30.1734940953573
449	6	30.17708011953855
453	2	30.17988238799355
458	5	30.183524708880494
459	4	30.184308347399455
460	6	30.184774802827164
466	7	30.188780767813572
469	4	30.190665753614997
470	4	30.19083834615938
479	2	30.195403735398614
483	4	30.197002824429727
497	2	30.2066525319009
500	6	30.207723207729952
506	4	30.21094917628189
508	5	30.212176829645763
512	6	30.215453565737725
521	6	30.220283823522998
525	6	30.222197051274957
528	2	30.22374083874291
529	5	30.224278980249476
530	7	30.225255313197202
544	3	30.231144719829548
546	4	30.234931371938647
550	4	30.237399869458645
553	1	30.238411326370276
556	6	30.24176453222476
562	3	30.246866166312017
567	5	30.249188058413658
568	4	30.249907045285983
574	6	30.255257290898253
579	4	30.25690393495564
581	6	30.257317385876753
582	1	30.258584482743185
588	6	30.261970404753647
594	6	30.264070821085234
599	6	30.26518415424234
601	6	30.266457578601774
602	7	30.266683679223913
606	2	30.268602855308572
615	5	30.27505384883796
618	2	30.27747493709881
619	7	30.27748633825651
624	3	30.280020046851355
634	3	30.283625475864582
639	1	30.287089529436944
644	4	30.289091346327602
645	6	30.289991408669074
648	7	30.291432150981677
654	2	30.29314923477053
662	2	30.29627222787681
669	2	30.29997781810388
676	6	30.30476026127735
677	3	30.30505576604679
689	2	30.31207858889048
691	6	30.31255809476021
692	8	30.312805556806687
698	7	30.315566817108845
712	2	30.321723508898458
719	5	30.323105215731715
721	2	30.329139435888425
725	3	30.33262318531846
728	6	30.333950333728506
732	4	30.33519627634287
733	3	30.335300235167857
737	1	30.33904193564283
740	3	30.340018596578133
746	3	30.344312870959204
748	6	30.344770361390154
753	5	30.349337683145315
756	1	30.349628149029286
758	2	30.35115500081726
765	4	30.35600175660278
766	1	30.356506838871
774	6	30.35768413489409
782	2	30.36546784300565
783	2	30.3654721286783
797	2	30.375456186361323
799	1	30.376891113544975
808	2	30.38226129240062
811	6	30.38251028325376
812	1	30.382811568962214
825	3	30.389448940342348
826	1	30.389743216909718
827	1	30.390631785031022
832	4	30.393345781948234
838	6	30.396267110031687
848	2	30.40220273222876
850	4	30.402544687594553
852	3	30.403122225124
869	4	30.41045346932966
871	4	30.41257134850676
874	2	30.41422529625285
880	3	30.416037095403528
885	4	30.42230506380587
886	3	30.42239768225782
889	4	30.42317866444513
891	1	30.42349575461037
893	4	30.423519624476516
896	3	30.426548879462683
899	4	30.427008725183946
915	1	30.433964279884073
917	1	30.435587433155426
923	1	30.43841240935659
926	4	30.439498014966656
927	3	30.439878648876352
930	2	30.4423708223988
941	2	30.44701455085287
949	5	30.45034528730161
956	3	30.453738968298573
963	1	30.45483736134823
967	2	30.45609576614717
970	3	30.457281865525996
972	2	30.457587825877436
985	2	30.462887384469337
987	2	30.463772911355193
