optimizer_name	batch_name	rank	score
steepesthill	batch_1_of_2_with_1	0	31.228342224764525
steepesthill	batch_1_of_2_with_1	1	31.281065926986688
steepesthill	batch_1_of_2_with_1	2	31.337169805153472
steepesthill	batch_1_of_2_with_1	3	31.405773819933966
steepesthill	batch_1_of_2_with_1	4	31.502364176757343
steepesthill	batch_1_of_2_with_1	5	31.640297380569052
steepesthill	batch_1_of_2_with_1	6	31.7808988488625
steepesthill	batch_1_of_2_with_1	7	31.9442341645739
steepesthill	batch_1_of_2_with_1	8	32.11006131370593
steepesthill	batch_1_of_2_with_1	9	32.443259338256155
steepesthill	batch_1_of_2_with_1	10	33.0021059029521
steepesthill	batch_1_of_2_with_1	11	33.81566415410896
steepesthill	batch_1_of_2_with_1	12	34.7768063434913
steepesthill	batch_1_of_2_with_1	13	36.207651053417976
steepesthill	batch_1_of_2_with_1	14	38.250714179222165
steepesthill	batch_1_of_2_with_1	15	42.557114004700175
steepesthill	batch_1_of_2_with_1	16	45.18280719582964
optimizer_name	batch_name	rank	score
steepesthill	batch_2_of_2_with_1	0	31.433723529826345
steepesthill	batch_2_of_2_with_1	1	31.535349048071794
steepesthill	batch_2_of_2_with_1	2	31.7219814575121
steepesthill	batch_2_of_2_with_1	3	31.939172087455127
steepesthill	batch_2_of_2_with_1	4	32.27821273691292
steepesthill	batch_2_of_2_with_1	5	32.54022606252397
steepesthill	batch_2_of_2_with_1	6	32.87168784894876
steepesthill	batch_2_of_2_with_1	7	33.2540807673431
steepesthill	batch_2_of_2_with_1	8	33.67442980751831
steepesthill	batch_2_of_2_with_1	9	34.14862650135698
steepesthill	batch_2_of_2_with_1	10	34.58871874802529
steepesthill	batch_2_of_2_with_1	11	35.17700317512912
steepesthill	batch_2_of_2_with_1	12	36.31055785887841
steepesthill	batch_2_of_2_with_1	13	37.4704249091136
steepesthill	batch_2_of_2_with_1	14	39.1401861366305
steepesthill	batch_2_of_2_with_1	15	45.601889863010264
steepesthill	batch_2_of_2_with_1	16	50.37533428460804
steepesthill	batch_2_of_2_with_1	0	30.802372874564053
steepesthill	batch_2_of_2_with_1	1	31.067308411730455
steepesthill	batch_2_of_2_with_1	2	31.533810109715084
steepesthill	batch_2_of_2_with_1	3	33.384083328448725
steepesthill	batch_2_of_2_with_1	4	42.309037507048416
steepesthill	batch_2_of_2_with_1	5	46.35260617725385
steepesthill	batch_1_of_2_with_1	0	30.832307967195362
steepesthill	batch_1_of_2_with_1	1	30.939659959672483
steepesthill	batch_1_of_2_with_1	2	31.343850440495096
steepesthill	batch_1_of_2_with_1	3	32.144295390298716
steepesthill	batch_1_of_2_with_1	4	33.132765971465815
steepesthill	batch_1_of_2_with_1	5	36.21281123481599
steepesthill	batch_1_of_2_with_1	6	48.194495567240494
steepesthill	batch_2_of_2_with_1	0	31.44976084313051
steepesthill	batch_2_of_2_with_1	1	31.76794886632915
steepesthill	batch_2_of_2_with_1	2	31.97167527054961
steepesthill	batch_2_of_2_with_1	3	32.128925465564464
steepesthill	batch_2_of_2_with_1	4	32.33435872296387
steepesthill	batch_2_of_2_with_1	5	32.74850347084737
steepesthill	batch_2_of_2_with_1	6	33.26945356918777
steepesthill	batch_2_of_2_with_1	7	34.16669442124354
steepesthill	batch_2_of_2_with_1	8	35.880062636889434
steepesthill	batch_2_of_2_with_1	9	38.31375545608852
steepesthill	batch_2_of_2_with_1	10	49.838935359570755
steepesthill	batch_1_of_2_with_1	0	30.841575070524808
steepesthill	batch_1_of_2_with_1	1	30.990663332929827
steepesthill	batch_1_of_2_with_1	2	31.113984294926446
steepesthill	batch_1_of_2_with_1	3	31.25136905979037
steepesthill	batch_1_of_2_with_1	4	31.467110052608746
steepesthill	batch_1_of_2_with_1	5	31.945988421076073
steepesthill	batch_1_of_2_with_1	6	32.659728091514665
steepesthill	batch_1_of_2_with_1	7	33.445823288652626
steepesthill	batch_1_of_2_with_1	8	35.07190905182202
steepesthill	batch_1_of_2_with_1	9	37.17178479438574
steepesthill	batch_1_of_2_with_1	10	44.99124653587798
steepesthill	batch_1_of_2_with_1	0	31.79333561388384
steepesthill	batch_1_of_2_with_1	1	31.93524104221155
steepesthill	batch_1_of_2_with_1	2	32.079681399934394
steepesthill	batch_1_of_2_with_1	3	32.317122794434766
steepesthill	batch_1_of_2_with_1	4	32.66807405804972
steepesthill	batch_1_of_2_with_1	5	33.201087568249456
steepesthill	batch_1_of_2_with_1	6	34.482633966448816
steepesthill	batch_1_of_2_with_1	7	36.88290547930282
steepesthill	batch_1_of_2_with_1	8	43.5588071596313
steepesthill	batch_2_of_2_with_1	0	29.48311487787493
steepesthill	batch_2_of_2_with_1	1	29.739236462369004
steepesthill	batch_2_of_2_with_1	2	30.202038083802183
steepesthill	batch_2_of_2_with_1	3	30.373466272343066
steepesthill	batch_2_of_2_with_1	4	30.653695571064095
steepesthill	batch_2_of_2_with_1	5	30.953690779939677
steepesthill	batch_2_of_2_with_1	6	31.420483870230456
steepesthill	batch_2_of_2_with_1	7	31.82609662927714
steepesthill	batch_2_of_2_with_1	8	32.48569837715963
steepesthill	batch_2_of_2_with_1	9	33.87898547476876
steepesthill	batch_2_of_2_with_1	10	36.44307841110271
steepesthill	batch_2_of_2_with_1	11	42.667173688884255
steepesthill	batch_2_of_2_with_1	0	30.739710484726107
steepesthill	batch_2_of_2_with_1	1	31.375746136536026
steepesthill	batch_2_of_2_with_1	2	32.57670872928248
steepesthill	batch_2_of_2_with_1	3	36.214020939187805
steepesthill	batch_2_of_2_with_1	4	48.80533621991102
steepesthill	batch_1_of_2_with_1	0	31.222284477055858
steepesthill	batch_1_of_2_with_1	1	31.318550632233332
steepesthill	batch_1_of_2_with_1	2	32.13055331774384
steepesthill	batch_1_of_2_with_1	3	32.46404881054462
steepesthill	batch_1_of_2_with_1	4	33.50232998231327
steepesthill	batch_1_of_2_with_1	5	35.366402564451384
steepesthill	batch_1_of_2_with_1	6	43.09315877949746
steepesthill	batch_1_of_2_with_1	0	31.610903405602446
steepesthill	batch_1_of_2_with_1	1	31.78221256850694
steepesthill	batch_1_of_2_with_1	2	31.864301608445317
steepesthill	batch_1_of_2_with_1	3	31.958376263529573
steepesthill	batch_1_of_2_with_1	4	32.10277822858459
steepesthill	batch_1_of_2_with_1	5	32.228264745138645
steepesthill	batch_1_of_2_with_1	6	32.32734336735278
steepesthill	batch_1_of_2_with_1	7	32.456791404090254
steepesthill	batch_1_of_2_with_1	8	32.67746186130493
steepesthill	batch_1_of_2_with_1	9	32.820371154741025
steepesthill	batch_1_of_2_with_1	10	33.24389835688018
steepesthill	batch_1_of_2_with_1	11	33.82139603526376
steepesthill	batch_1_of_2_with_1	12	34.8339265435099
steepesthill	batch_1_of_2_with_1	13	37.82861400147522
steepesthill	batch_1_of_2_with_1	14	47.79946263167392
steepesthill	batch_2_of_2_with_1	0	30.208239054317747
steepesthill	batch_2_of_2_with_1	1	30.294583348718255
steepesthill	batch_2_of_2_with_1	2	30.42672835077336
steepesthill	batch_2_of_2_with_1	3	30.57551359355559
steepesthill	batch_2_of_2_with_1	4	30.737012966037298
steepesthill	batch_2_of_2_with_1	5	30.91314966584099
steepesthill	batch_2_of_2_with_1	6	31.124245282212573
steepesthill	batch_2_of_2_with_1	7	31.437273447826943
steepesthill	batch_2_of_2_with_1	8	31.66595592545169
steepesthill	batch_2_of_2_with_1	9	32.08483688594134
steepesthill	batch_2_of_2_with_1	10	32.36685857365573
steepesthill	batch_2_of_2_with_1	11	32.6730648527395
steepesthill	batch_2_of_2_with_1	12	32.9879165879666
steepesthill	batch_2_of_2_with_1	13	34.221534237531955
steepesthill	batch_2_of_2_with_1	14	35.493758654334044
steepesthill	batch_2_of_2_with_1	15	36.15487418823735
steepesthill	batch_2_of_2_with_1	16	38.40515024739112
steepesthill	batch_2_of_2_with_1	17	48.35534177494228
steepesthill	batch_2_of_2_with_1	0	31.262287807288008
steepesthill	batch_2_of_2_with_1	1	31.31258172736117
steepesthill	batch_2_of_2_with_1	2	31.372435927638904
steepesthill	batch_2_of_2_with_1	3	31.449077245323817
steepesthill	batch_2_of_2_with_1	4	31.647736271246966
steepesthill	batch_2_of_2_with_1	5	31.740451434734613
steepesthill	batch_2_of_2_with_1	6	31.84785579863347
steepesthill	batch_2_of_2_with_1	7	32.08339123972823
steepesthill	batch_2_of_2_with_1	8	32.37685221102545
steepesthill	batch_2_of_2_with_1	9	32.74126214116517
steepesthill	batch_2_of_2_with_1	10	33.330845267085586
steepesthill	batch_2_of_2_with_1	11	34.13726179066199
steepesthill	batch_2_of_2_with_1	12	36.82379440478904
steepesthill	batch_2_of_2_with_1	13	39.346419996911955
steepesthill	batch_2_of_2_with_1	14	47.53736822097635
steepesthill	batch_1_of_2_with_1	0	29.99932402871567
steepesthill	batch_1_of_2_with_1	1	30.053066484743674
steepesthill	batch_1_of_2_with_1	2	30.2501258462038
steepesthill	batch_1_of_2_with_1	3	30.311459436165016
steepesthill	batch_1_of_2_with_1	4	30.377760983095847
steepesthill	batch_1_of_2_with_1	5	30.470681473883964
steepesthill	batch_1_of_2_with_1	6	30.57118861860034
steepesthill	batch_1_of_2_with_1	7	30.693502772085917
steepesthill	batch_1_of_2_with_1	8	30.829677569425154
